Lot Title,Lot Number,Lot Description,Event,Image Name ,  Minimum Bid  , Reserve Bid , Limit bid ,Bid Increment,Active
"ANILLO FIRMA OMEGA, COLECCIÓN COSNTELLATION EN ORO DE 18K,  CON 34 DIAMANTES.",45,"Grabado con números romanos y “OMEGA”, las gemas son en Corte completo, Color H, Claridad VVS, peso aprox. en conjunto 0.20 Qte. contrastes propies de la firma y seriado, medida # 4 1/2 (48), peso 5.4 grs. Con estuche original.",20,Lote45.jpg,10000,500000,500000,500,1
BECA,45,,20,,5000,500000,500000,200,0
"RELOJ PARA UNISEX HUBLOT CLASSIC FUSIÓN MDM, 36 MM, MOVIMIENTO CUARZO.",46,"Referencia 1521.2, carátula negra, fechador a las 3:00 hrs., caja en acero, bisel y vistas en oro de 18k, serie 270XXX, correa de caucho, medida 15 cm, doble broche desplegable en acero y oro.",20,Lote46.jpg,18000,500000,500000,1000,1
"RELOJ PORSCHE DESIGN FLAT SIX, 44 MM, AUTOMÁTICO, EN ACERO. ",47,"Referencia P6340, carátula gris, bisel de titanio, calibre base ETA 7750, doble ventana Day-Date a las 3:00 hrs., indicados y señaladores luminiscentes, tapa de esqueleto, serie 180XXX, medida es ext. 18.5 cm, doble cierre desplegable.",20,Lote47.jpg,22000,500000,500000,2000,1
"RELOJ PARA DAMA CARTIER RONDE SOLO, 29MM, MOVIMIENTO CUARZO, TODO ACERO.",48,"Carátula plata, manecillas azul acero, con números romanos, referencia 2933, serie 72733XXX, cierre doble desplegable.",20,Lote48.jpg,18000,500000,500000,1000,1
"RELOJ CARTIER TANK FRANCES, TODO ACERO, AUTOMÁTICO. ",49,"Ref. 2302, carátula plata en guilloché ligeramente manchada, diámetro28x35 mm, números romanos, manecillas color azul acero, fechador a las 6:00 hrs,  serie 85718XXX, brazalete con broche desplegable, medida 16 cm. ",20,Lote49.jpg,22000,500000,500000,2000,1
"RELOJ CARTIER TANK ANGLAISE AUTOMÁTICO, EN ACERO Y ORO ROSA.",50,"Carátula guilloché color plata, con números romanos, indicadores en azul acero, fechador a las 3:00 hrs, Ref. 3511, diámetro 30x39 mm, medida extensible 13.5 cm, cierre desplegable, en buen estado de conservación. ",20,Lote50.jpg,60000,500000,500000,5000,1
"RELOJ PARA DAMA CARTIER SANTOS GALBEE, TODO ACERO.",51,"Carátula plata, números romanos, Ref. 1565, número de serie 396XXX, mov. Cuarzo, diámetro 23x35 mm, medida de extensible 13 cm, medida de ext. 14cm, cierre doble desplegable, carátula ligeramenta con mancha. ",20,Lote51.jpg,20000,500000,500000,1000,1
"RELOJ CARTIER, CALIBRE CARTIER, AUTOMÁTICO, TODO ACERO. ",52,"Ref. 3299, carátula blanca, diámetro 42 mm, números romanos e indicadores luminiscentes,  fechador a las 3:00 hrs., serie 46282XXX, cierre desplegable.",20,Lote52.jpg,55000,500000,500000,5000,1
"RELOJ TANK FRANCES, TODO ACERO, MOV. CUARZO.",53,"Ref. 2465, diámetro 25X30, manecillas azul acero, marcadores de hora en números romanos, serie 83540XXX, brazalete con cierre desplegable.  ",20,Lote53.jpg,12000,500000,500000,1000,1
"RELOJ PARA DAMA ROLEX OYSTER PERPETUAL, AUTOMÁTICO, TODO ACERO. ",54,"Carátula plata, indicadores en barra en negro, con número arábigos, Ref. 176200, serie V203XXX, diámetro 26 mm, pulso oyster, buen estado de conservación, en estuche sin cojín y papeles. ",20,Lote54.jpg,42000,500000,500000,2000,1
"RELOJ GRAHAM OVERSIZE BLACK ARROW CHRONÓGRAFO, 47 MM, MOVIMIENTO AUTOMÁTICO.",55,"Carátula gris camuflaje, fechador a las 8:30 hrs. números arábigos, caja de acero PVD, con bisel en cerámica, referencia 1695, serie GR2FXXX, tapa de esqueleto, ext. en caucho negro medida ajustable a 19 cm. Incluye estuche, papeles y laser con caucho muestra marcas de uso. En buen estado de conservación.",20,Lote55.jpg,70000,500000,500000,5000,1
"RELOJ CARTIER BALLON  BLUE, 42 MM, MOVIMIENTO AUTOMÁTICO.",56,"Referencia 3765, carátula negra con números romanos, con fechador. Manecillas luminiscentes, segundero rojo, caja acero PVD negro, ext. en piel cubierto con satín, medida ajustable a 17.5 cm, cierre desplegable. En buen estado de conservación.",20,Lote56.jpg,80000,500000,500000,5000,1
"RELOJ CONCORD C1 CERO Y CAUCHO CAFÉ MATE, CON DIAMANTES, AUTOMÁTICO. ",57,"Carátula café mate guilloche, fechador doble ventana, Ref., 01.5.14.1011, tapa de esqueleto, diámetro 45 mm, manecillas luminiscentes, con 50 diamantes en bisel e indicadores, peso aprox. en conjunto 0.90 Qte, serie 1381XXX 1X/25, medida de extensible 17.5 cm. Con estuche original.",20,Lote57.jpg,85000,500000,500000,5000,1
